Street,Administrative Division
"Isujeh St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"J. V. Wede Obahor St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Jakande Round About, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"James Anyaeche Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"James Oluleye St., Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"James Orugbo Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Jide Agbalaya St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Jinadu St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"John Ejakita St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"John Okafor St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kamal Shasi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kazeem Abogun St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kenneth Odidika Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kessington Oribhabor St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kikelomo Abogun, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"kikelomo St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kizz Daniel St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kudirat Salami St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kunle Idowu St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kuramo Cres, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Kusenla Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"L.W.S. Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ladega St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lagos-Epe Express Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lake View II, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lanre Olumide, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Laoye Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lara Ademola St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lavender Cres, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lawal St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Legacy Blvd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lekki - Epe Expy, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lekki Beach Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Lekki Enclave Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Logos Church St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Madam Asisat Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Madam Bilikisu St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Madam Cellular St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Maiyegun Road, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Maple And Jand Mini St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Marry Osadorlor Cres, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Mathew Osawemen St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Meadow Hall Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Megamound St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Mfm Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Milverton Estate Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Modupe Adebayo St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Moshalashi Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Mufutau Eletu Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Muritala Eletu Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Murphy Agbabiaka St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Mushafau Lasisi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Nicole Balogun St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Nicon Town Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Nike Art Gellery Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Nile Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Nnobi Ln, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Nonso-Chukwucheben St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Northen Foreshore Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Nurat Bakare Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oba Akinloye, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oba Akinloye Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oba Amusa Adebambo Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oba Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oba Elegushi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oba Okunade Sijuade Cress, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oba Yekini Elegushi Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ocean Bay Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Odiyan ST, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ojo Oyewo Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ojomo St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ojomu Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ojulari Cres, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ojulari Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ola Adigun St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oladele Ojogbede St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olajide Awosedo Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olajumoke Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olatunde K. Amolegbe St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olayinka Abiola St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olayinka Obire St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olivia's Ct, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ologolo, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ologolo Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ologolo St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ologolo Village Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olori Sinatu Titilayo Elegushi Str, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olowu Ln, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olu Akinbola Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olu Babajide Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olubunmi Adewuyi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olufemi Olatunji St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olugborogan Olusesi Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Olugborogan Town Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oluge Pl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oluwatosin Adewuyi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oluwatunmike Disu St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Omo Oba Olukolu St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Omoba Murphy Adetoro St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Omodayo Owotuga St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Omololu Fatunbi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Omoseinde Agbaje Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Omoseinde Agbaje Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Opeyemisi Bamidele Cres, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Orchid Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oroale St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Osagie Unuigbe Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Osamudiamen Otabor, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Osamudiamen Otabor Cresent, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oseni Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oseni Mayeigun St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ota-Iku St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Otunba Steve Ajose Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Otunba Tunde Seriki Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Otunba Wale Olufeko Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Our Saviour St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oye Balogun St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Oyebanji St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Pacific Alley, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Pacific Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Palm Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Palm Springs Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Park Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Park Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Pascal Offiah Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Patchworth Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Pearsly Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Peter Chigbue Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Pinewood Ct Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Pinewood Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Platinum St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Platinum Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Police Station Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Primerose St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince Ademola Eletu Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince Ibrahim Eletu Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince Kaeem Eletu Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince Kolawole Isikalu Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince of Wales St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince Olanrewaju A. Elegushi Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince Salisu Elegushi Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince Samuel Adedoyin St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Prince Sanmi Harrison Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Probyn Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Probyn Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Queens Cres Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"R.T. Lawal St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Radiyallahu Olusesi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Raliat Omolabi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rasaki Balogun St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rasaq Eletu Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 1, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 12, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 13, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 16, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 2, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 3, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 4, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 5, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 6, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 7, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd 8, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd A1, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd A2, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B1, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B2, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B3, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B4, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B5, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B6, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B7, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B8, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd B9, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd C1, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd Number 13, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd Number 2, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd Number 4, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd Number 5, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Rd Number 8, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Redwood Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Remilade Opadokun St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Resurrection Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Road No. 2, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Road No. 9, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Roedean Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ryans Ct, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"S.A. Apartment Cres, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sabitex Hotel Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sadiku Erinfolami St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Safari Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Saka Oluwa St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Saki Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Salem St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Salvation Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Samuel Olushola Oguntuase, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sanni St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sateru Ln, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Saula Akinlolu St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Seed Education Center Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Segun Olusesi Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sesan Awonoiki St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Shasanya St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Silverbird Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sir Johnson Asinuga St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sir Robert Nebolisa St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sir Theophilus Okonkwo Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Soji Olagunju St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sola Giwa Ln, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Southern View Estate, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Southpointe, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"St Johnsworth Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"St Joseph St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Stansberry Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Still Waters Garden Est. Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sulaiman Adekanbi, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sulaimon Adekanmbi Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sule Olusesi Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Suleiman Abdullahi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sultana St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Sunflower St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Swisstrade Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Taiwo Onanuga St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Tajudeen Ahmed Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"The Pearl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Thistle St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Thompson Okonkwo St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Tom Ogboi Way, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Tony Azuya St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Tosin Adelowo St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Towobola Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Toyosi Adetoro, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Traffic Cir, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Tunde Adeleye St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Tunde Laitan Dr, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Tunde Olowola Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Tunji Suleiman St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Udeco Medical Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ugochukwu Duru St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Ugochukwu Orji St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Uwandulu St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"V. F. C. Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Valerian Cres, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Valifeanyianyachukwu St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Van-Daniel's St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Victor Ikwuemesi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Victor Osime St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Victoria Adode Kobiti St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Victory Park Estate, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Water Works, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Westend Ave, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Westend Rd 2, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Westend Rd 3, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Westend Rd 4, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Westford Cl, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"William Onoh Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Wojuara Durosinmi St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Wormwood Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Yellow Wood Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Yemi Adetayo Link Rd, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Yemi Adetayo St, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Yeni Cress, Lekki Penninsula II, Eti-Osa","Lekki Penninsula II, Eti-Osa"
"Aakintude A. Adeyemi Dr, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Aare Adedeji Okunubi St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Abayomi Durosinmi-Etti St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Abayomi Shonuga Cres, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Abeke Animashaun St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Abeke Ogunkoya Dr, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Abike Sulaiman St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Abimbola Okulaja Cl, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Abiodun Apatira Dr, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adebayo Doherty Rd, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adebisi Ogunniyi Cres, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adedapo Williams Cl, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adedeji Adekola St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adekola Balogun St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adekunle Animashaun Dr, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adenike Wole Ajibode St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adeniyi Olanrewaju St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
"Adesola Akinnifesi St, Lekki Phase 1, Eti Osa","Lekki Phase 1, Eti Osa"
